text,label
Find me a table for four for dinner tonight,7
Book a table for today's lunch at Eggy's Diner for 3 people,7
Book a table at a restaurant near Times Square for 2 people tomorrow night,7
Book a table for friday 8pm for 2 people at Katz's Delicatessen,7
Book a table at Joan's on Third for my family reunion on Saturday,7
I'd like a table in a peaceful restaurant around Times Square,7
Book a table at Seven Hills for 6 people with a nice view,7
Book a table for 6 people at Mr Donahue's for tomorrow's lunch,7
Book a restaurant for 6 near my morning meeting tomorrow at 1pm,7
I want reservations to grab brunch for 5 in hells kitchen tomorrow,7
Book a table for Sophie and me at the Red Lobster tonight,7
Book a table for 3 people at a restaurant that serve tapas and wine for tonight,7
Book a table near my London hotel next Wednesday evening,7
Book me a table for 8:45pm at a restaurant with wifi near my Airbnb,7
Figure out if I can get a reservation at Ma Peche after the concert,7
Book a table for four people at Tapestry for 9pm tonight,7
Get me a spot at Ippudo for lunch,7
Book a table at the best chinese restaurant in town for today's lunch,7
Book a restaurant for brunch next Sunday,7
Book me a table for 2 people at the sushi place next to the show tomorrow night,7
Make a reservation for 4 people for today's lunch at Daniel,7
Book a table for four people at Mondrian Soho for 8pm,7
Get me a table at Din Tai Fung for the 4th of December at 12:30,7
Get me a table at a restaurant nearby that is not too crowded for tomorrow evening,7
Find me an outdoor table at Five leaves for 3,7
Get me a table at Delmonico's next monday at 8pm,7
We are a party of 4 people and we want to book a table at Seven Hills for sunset,7
I need reservations at Quince at 9:30,7
Make a reservation at Delmonico's on Saturday 8pm for 10 people,7
Book a table at an italian restaurant nearby for dinner with 5 people,7
Book a table at the nearest sushi restaurant for 2 for 1pm,7
Book me a table for 4 at Delmonico's around 8pm this friday,7
Is there a table for boozy brunch at around 11 nearby?,7
Need a table for lunch to eat steak near penn station,7
Get me a table at a restaurant near Emily's place for tomorrow 9pm,7
Book a table for 5 people at the restaurant I'm used to going to every week,7
Make a reservation for breakfast at Batter & Berries tomorrow,7
Get me a place near chelsea with good brunch cocktails tomorrow at 10,7
Book a table for two people at a restaurant near work,7
Table for a group of 12 near west village tomorrow? go!,7
I want a reservation for 5 at Alinea,7
Make a reservation for 4 people for today's lunch at a Starbucks nearby,7
Get me a table at a good deli near Mission Dolores Park for lunch,7
Please book a table at Delmonico's this evening for 3 at 8pm,7
I need a reservation for five people at Galli for friday night,7
"Can you make a reservation at a lebanese restaurant nearby, for lunch, party of 5?",7
See if there's a table outside for noon at that fried chicken restaurant I like,7
Book a table at Chops Lobster Bar for 5 people at 7:30pm,7
I want to find a reservation at an old red sauce joint at 6,7
Book a table for 3 people at the restaurant I went to last week,7
Make a reservation for 3 at the finest restaurant in the area where I was yesterday afternoon,7
I want a table in a good japanese restaurant near Trump tower,7
Table for two at Nobu New York tonight,7
Book a table at The Standard Grill for four people for the day after tomorrow at 8:30pm,7
Book for 4 people at Per Se for Tuesday evening,7
I want a table for friday 8pm for 2 people at Katz's Delicatessen,7
Need a table for 6,7
I want a reservation to get drinks after class tomorrow for 10,7
Book a table at an American restaurant for Thanksgiving,7
Book a table at Galli for 6 people tonight,7
Book for 4 at Nobu for tomorrow evening,7
Book a table for four people at La Chine for the 11th at 8pm,7
Book a table at Saddle Peak Lodge for my diner with friends tonight,7
Can I have a table at the Russian Tea Room for 4pm?,7
Book a table for 8 at Tavern on the Green for 8 pm,7
Need a table for 12 in 3 hours,7
Book a table for me and my girlfriend in a romantic restaurant for Valentine's day,7
Need a reservation for brunch for 5 in williamsburg near the bridge,7
Book me and my sister a spot at the milk bar place near the hotel she stays at in midtown,7
Book me a table for 4 at Delmonico's,7
Get a taxi to Emmit's Irish Pub,1
Get me a ride to the airport,1
Order a taxi for tomorrow 8am,1
Get a cab at my place right now,1
Order a taxi,1
I need a taxi for 6 to go to Audrey and Sam's wedding,1
Book an Uber to my next meeting,1
I need a taxi to catch my flight tomorrow morning,1
Book a cab,1
Book a taxi to go to Sebastian's,1
Find a taxi,1
I need a cab to go to work,1
I need a taxi in 5 minutes at 36 5th avenue,1
Book an Uber to home,1
Can you find me a ride at this hour?,1
Order a cab for 6 people,1
I need an Uber right now,1
Book me a ride at my current location,1
Order a cab at my mother's place to go to the LA stadium,1
Get an Uber to go to my dinner tonight,1
Book a Lyft car to go to 33 greene street,1
I want a taxi right now,1
Is there any Uber around?,1
Get a taxi to the nearest japanese restaurant,1
Order a cab at Shake Shack to go to the Empire State Building,1
Get a Lyft car at Scott's place,1
Show me the forecast for New Orleans,2
Will it be cloudy at my facebook event?,2
What's the weather like at my parents'?,2
Is the weather good for a walk today?,2
Is it cold outside? ,2
Is it going to rain tomorrow?,2
What's the weather like at Jo's place right now?,2
Can I walk to my next meeting?,2
Show me the weather forecast for my upcoming trip to Los Angeles,2
Will it rain in the next 30 minutes?,2
"What's the weather like in Paris, New York and Chicago?",2
What's the weather forecast for the rest of the week?,2
What's the weather like from New York to Boston?,2
How windy will it be tomorrow?,2
Should I have an umbrella with me tomorrow?,2
What will the weather be like at Jo's place this afternoon?,2
Can I go hiking this afternoon?,2
What is the temperature tomorrow morning?,2
Is it cold outside?,2
Should I take an umbrella to walk to my dinner?,2
What will the weather be like from Home to Jo's place?,2
What's the weather like in 3 days?,2
What will the weather be like from 8am to 2pm in Central Park?,2
What will the weather be like tomorrow morning?,2
Can I take my bike to go to work today?,2
What will the weather be like in London next week?,2
Is it windy today?,2
What's the weather like at work?,2
Is it going to be sunny next week?,2
I want the weather in Paris,2
It is a beautiful day for a walk?,2
What's it like outside?,2
What will the weather be like when I land in Paris?,2
Is it raining right now?,2
What will the weather be like at my Airbnb this week end?,2
Whats the weather like in Bordeaux?,2
What's the weather like near my upcoming event?,2
